Time (s) Auto,Angle (rad) Run #2
40.14,22.42747765
40.16,22.39257107
40.18,22.35766449
40.2,22.3402112
40.22,22.30530462
40.24,22.27039804
40.26,22.23549146
40.28,22.20058488
40.3,22.1656783
40.32,22.13077172
40.34,22.09586514
40.36,22.06095856
40.38,22.00859869
40.4,21.97369211
40.42,21.93878553
40.44,21.90387895
40.46,21.85151908
40.48,21.8166125
40.5,21.78170592
40.52,21.72934605
40.54,21.69443947
40.56,21.65953289
40.58,21.60717302
40.6,21.57226644
40.62,21.51990657
40.64,21.48499999
40.66,21.45009341
40.68,21.39773354
40.7,21.36282696
40.72,21.31046709
40.74,21.27556051
40.76,21.22320064
40.78,21.18829406
40.8,21.13593419
40.82,21.10102761
40.84,21.04866774
40.86,21.01376116
40.88,20.97885458
40.9,20.92649471
40.92,20.89158813
40.94,20.85668155
40.96,20.80432168
40.98,20.7694151
41,20.73450852
41.02,20.68214865
41.04,20.64724207
41.06,20.61233549
41.08,20.57742891
41.1,20.52506904
41.12,20.49016246
41.14,20.45525588
41.16,20.4203493
41.18,20.38544272
41.2,20.35053614
41.22,20.31562956
41.24,20.28072298
41.26,20.2458164
41.28,20.21090982
41.3,20.19345653
41.32,20.15854995
41.34,20.12364337
41.36,20.08873679
41.38,20.0712835
41.4,20.03637692
41.42,20.01892363
41.44,19.98401705
41.46,19.96656376
41.48,19.94911047
41.5,19.91420389
41.52,19.8967506
41.54,19.87929731
41.56,19.86184402
41.58,19.84439073
41.6,19.82693744
41.62,19.80948415
41.64,19.79203086
41.66,19.77457757
41.68,19.75712428
41.7,19.75712428
41.72,19.73967099
41.74,19.7222177
41.76,19.7222177
41.78,19.70476441
41.8,19.70476441
41.82,19.70476441
41.84,19.68731112
41.86,19.68731112
41.88,19.68731112
41.9,19.68731112
41.92,19.68731112
41.94,19.68731112
41.96,19.68731112
41.98,19.68731112
42,19.70476441
42.02,19.70476441
42.04,19.70476441
42.06,19.7222177
42.08,19.7222177
42.1,19.7222177
42.12,19.73967099
42.14,19.75712428
42.16,19.75712428
42.18,19.77457757
42.2,19.79203086
42.22,19.79203086
42.24,19.80948415
42.26,19.82693744
42.28,19.84439073
42.3,19.86184402
42.32,19.87929731
42.34,19.8967506
42.36,19.91420389
42.38,19.93165718
42.4,19.94911047
42.42,19.98401705
42.44,20.00147034
42.46,20.01892363
42.48,20.03637692
42.5,20.0712835
42.52,20.08873679
42.54,20.12364337
42.56,20.14109666
42.58,20.15854995
